"","x"
"1","ANTXR2"
"2","FN1"
"3","CARD6"
"4","TNFRSF21"
"5","TGFBI"
"6","PPARG"
"7","NRP1"
"8","RBPMS"
"9","GALNT5"
"10","HNMT"
"11","XXYLT1"
"12","MMP2"
"13","AXL"
"14","VIM"
"15","LIX1L"
"16","ZEB1"
