"","x"
"1","MYOF"
"2","AMOTL2"
"3","LATS2"
"4","CTGF"
"5","CYR61"
"6","ANKRD1"
"7","ASAP1"
"8","AXL"
"9","F3"
"10","IGFBP3"
"11","CRIM1"
"12","FJX1"
"13","FOXF2"
"14","GADD45A"
"15","xccDC80"
"16","NT5E"
"17","DOCK5"
"18","PTPN14"
"19","ARHGEF17"
"20","NUAK2"
"21","TGFB2"
"22","RBMS3"
